panel,metric,value,value_percent,n,true_fog,true_mist,true_clear,station,low_true,low_pred,true_class,predicted_class,count
station_event_sites,low_vis_recall,0.999999000001,99.9999000001,1058.0,,,,ZSJH,1.0,13.0,,,
station_event_sites,accuracy,0.9877126654064272,98.77126654064273,1058.0,,,,ZSJH,1.0,13.0,,,
station_event_sites,low_vis_precision,0.1408450684388018,14.08450684388018,1285.0,,,,ZSJN,19.0,71.0,,,
station_event_sites,low_vis_recall,0.5263157617728547,52.63157617728547,1285.0,,,,ZSJN,19.0,71.0,,,
station_event_sites,accuracy,0.9431906614785992,94.31906614785991,1285.0,,,,ZSJN,19.0,71.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZSJU,2.0,0.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZSJU,2.0,0.0,,,
station_event_sites,accuracy,0.998443579766537,99.8443579766537,1285.0,,,,ZSJU,2.0,0.0,,,
station_event_sites,low_vis_precision,0.0714285688775511,7.1428568877551095,1285.0,,,,ZSLY,2.0,28.0,,,
station_event_sites,low_vis_recall,0.99999950000025,99.999950000025,1285.0,,,,ZSLY,2.0,28.0,,,
station_event_sites,accuracy,0.9782101167315176,97.82101167315176,1285.0,,,,ZSLY,2.0,28.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZSNJ,1.0,8.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZSNJ,1.0,8.0,,,
station_event_sites,accuracy,0.9929961089494164,99.29961089494164,1285.0,,,,ZSNJ,1.0,8.0,,,
station_event_sites,low_vis_precision,0.99999980000004,99.999980000004,1285.0,,,,ZSNT,6.0,5.0,,,
station_event_sites,low_vis_recall,0.8333331944444675,83.33331944444676,1285.0,,,,ZSNT,6.0,5.0,,,
station_event_sites,accuracy,0.998443579766537,99.8443579766537,1285.0,,,,ZSNT,6.0,5.0,,,
station_event_sites,low_vis_precision,0.0666666622222225,6.666666222222251,1285.0,,,,ZSOF,3.0,15.0,,,
station_event_sites,low_vis_recall,0.3333332222222592,33.33332222222592,1285.0,,,,ZSOF,3.0,15.0,,,
station_event_sites,accuracy,0.9875486381322958,98.75486381322958,1285.0,,,,ZSOF,3.0,15.0,,,
station_event_sites,low_vis_precision,0.3571428316326549,35.71428316326549,1285.0,,,,ZSQD,7.0,14.0,,,
station_event_sites,low_vis_recall,0.7142856122449125,71.42856122449125,1285.0,,,,ZSQD,7.0,14.0,,,
station_event_sites,accuracy,0.9906614785992218,99.06614785992218,1285.0,,,,ZSQD,7.0,14.0,,,
station_event_sites,low_vis_precision,0.0882352915224914,8.82352915224914,1285.0,,,,ZSRZ,4.0,34.0,,,
station_event_sites,low_vis_recall,0.7499998125000469,74.9999812500047,1285.0,,,,ZSRZ,4.0,34.0,,,
station_event_sites,accuracy,0.9750972762645914,97.50972762645914,1285.0,,,,ZSRZ,4.0,34.0,,,
station_event_sites,low_vis_precision,0.2799999888000004,27.99999888000004,1285.0,,,,ZSSH,11.0,25.0,,,
station_event_sites,low_vis_recall,0.636363578512402,63.6363578512402,1285.0,,,,ZSSH,11.0,25.0,,,
station_event_sites,accuracy,0.982101167315175,98.2101167315175,1285.0,,,,ZSSH,11.0,25.0,,,
station_event_sites,low_vis_precision,0.6461538362130179,64.61538362130179,1285.0,,,,ZSSM,82.0,65.0,,,
station_event_sites,low_vis_recall,0.5121951157049376,51.21951157049376,1285.0,,,,ZSSM,82.0,65.0,,,
station_event_sites,accuracy,0.9494163424124512,94.94163424124513,1285.0,,,,ZSSM,82.0,65.0,,,
station_event_sites,low_vis_precision,0.1428571224489825,14.28571224489825,1285.0,,,,ZSSR,2.0,7.0,,,
station_event_sites,low_vis_recall,0.499999750000125,49.9999750000125,1285.0,,,,ZSSR,2.0,7.0,,,
station_event_sites,accuracy,0.9945525291828794,99.45525291828794,1285.0,,,,ZSSR,2.0,7.0,,,
station_event_sites,low_vis_precision,0.0624999960937502,6.24999960937502,1285.0,,,,ZSTX,3.0,16.0,,,
station_event_sites,low_vis_recall,0.3333332222222592,33.33332222222592,1285.0,,,,ZSTX,3.0,16.0,,,
station_event_sites,accuracy,0.9867704280155642,98.67704280155642,1285.0,,,,ZSTX,3.0,16.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZSWA,3.0,0.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZSWA,3.0,0.0,,,
station_event_sites,accuracy,0.9976653696498056,99.76653696498056,1285.0,,,,ZSWA,3.0,0.0,,,
station_event_sites,low_vis_precision,0.5384614970414233,53.846149704142334,1285.0,,,,ZSWF,8.0,13.0,,,
station_event_sites,low_vis_recall,0.8749998906250137,87.49998906250137,1285.0,,,,ZSWF,8.0,13.0,,,
station_event_sites,accuracy,0.9922178988326849,99.22178988326849,1285.0,,,,ZSWF,8.0,13.0,,,
station_event_sites,low_vis_precision,0.163636360661157,16.3636360661157,1285.0,,,,ZSWH,10.0,55.0,,,
station_event_sites,low_vis_recall,0.8999999100000091,89.99999100000092,1285.0,,,,ZSWH,10.0,55.0,,,
station_event_sites,accuracy,0.9634241245136188,96.34241245136188,1285.0,,,,ZSWH,10.0,55.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZSWY,2.0,7.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZSWY,2.0,7.0,,,
station_event_sites,accuracy,0.9929961089494164,99.29961089494164,1285.0,,,,ZSWY,2.0,7.0,,,
station_event_sites,low_vis_precision,0.09090908815427,9.090908815427,1285.0,,,,ZSXZ,3.0,33.0,,,
station_event_sites,low_vis_recall,0.9999996666667778,99.99996666667778,1285.0,,,,ZSXZ,3.0,33.0,,,
